Program,id,Type,Online,Pursuit
Computer Science,1,Bachelors,,Technology
Digital Arts and Sciences,2,Bachelors,,Technology
Telecommunication: Media and Society ,3,Bachelors,,Technology
Accounting,4,Bachelors,,Business
Accounting Minor,5,Bachelors,,Business
Accounting Minor UF Online,6,Bachelors,Online only,Business
Actuarial Science Minor,7,Bachelors,,Business
Advanced Engineering Ceramics Certificate,8,Certificate,,Earth Sciences
Advertising,9,Bachelors,,Communication
Advertising | Persuasive Messaging UF Online,10,Bachelors,Online only,Communication
Aerospace Engineering,11,Bachelors,,Technology
Aerospace Leadership Minor,12,Bachelors,,Technology
African Languages,13,Bachelors,,Social Sciences
African Studies Minor,14,Bachelors,,Social Sciences
African-American Studies,15,Bachelors,,Social Sciences
African-American Studies Minor,16,Bachelors,,Social Sciences
Agricultural and Natural Resource Communication Minor,17,Bachelors,,Earth Sciences
Agricultural and Natural Resource Ethics and Policy Minor,18,Bachelors,,Earth Sciences
Agricultural and Natural Resource Law Minor,19,Bachelors,,Earth Sciences
Agricultural Curriculum and Development Minor,20,Bachelors,,Earth Sciences
Agricultural Education and Communication,21,Bachelors,,Earth Sciences
Agricultural Operations Management,22,Bachelors,,Earth Sciences
Agroecology and Sustainable Food Systems Certificate,23,Certificate,,Earth Sciences
American Indian and Indigenous Studies Minor,24,Bachelors,,Social Sciences
Animal Genetics Certificate,25,Certificate,,Animals
Animal Sciences,26,Bachelors,,Animals
Anthropology,27,Bachelors,,Social Sciences
Anthropology Minor,28,Bachelors,,Social Sciences
Anthropology Minor UF Online,29,Bachelors,Online only,Social Sciences
Anthropology UF Online,30,Bachelors,,Social Sciences
Applied Physiology and Kinesiology,31,Bachelors,,Health and Wellness
Applied Theater for Health Certificate,32,Certificate,,Art and Design
Arabic,33,Bachelors,,Communication
Arabic Language and Literature Minor,34,Bachelors,,Communication
Architecture,35,Bachelors,,Art and Design
Art Education Certificate,36,Certificate,,Art and Design
Art History,37,Bachelors,,Art and Design
Art History Minor,38,Bachelors,,Art and Design
Art History Minor | New World School of the Arts,39,Bachelors,,Art and Design
Art Minor,40,Bachelors,,Art and Design
Art | BA,41,Bachelors,,Art and Design
Art | BFA,42,Bachelors,,Art and Design
Artificial Intelligence Fundamentals and Applications Certificate,43,Certificate,,Technology
Asian Studies Minor,44,Bachelors,,Communication
Asian-American Studies Minor,45,Bachelors,,Communication
Astronomy and Astrophysics,46,Bachelors,,Earth Sciences
